rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,100,296,7.94923,0.0386111,-1,1.08333,1,2,0.0763889,-1,-1,-1,0,278,290,3600
001,200,211,7.38707,0.0783333,-1,1.05556,1,2,0.0524691,-1,-1,-1,0,184,201,3600
001,300,179,7.08538,0.146667,-1,1,1,1,0,-1,-1,-1,0,148,165,3600
001,400,162,6.91721,0.206111,-1,1,1,1,0,-1,-1,-1,0,126,148,3600
001,500,147,6.74268,0.276667,-1,1.21875,1,3,0.233398,-1,-1,-1,0,105,131,3600
001,600,144,6.64666,0.369722,-1,1.15625,1,2,0.131836,-1,-1,-1,0,96,124,3600
001,700,146,6.56411,0.431944,-1,1.14706,1,2,0.125433,-1,-1,-1,0,93,122,3600
001,800,142,6.54934,0.518056,-1,1.21622,1,2,0.169467,-1,-1,-1,0,88,117,3600
001,900,154,6.55205,0.649444,-1,1.29167,1,3,0.248264,-1,-1,-1,0,83,121,3600
001,1000,150,6.50017,0.725,-1,1.22222,1,2,0.17284,-1,-1,-1,0,80,115,3600
001,1100,150,6.47314,0.793889,-1,1.2549,1,3,0.229143,-1,-1,-1,0,75,114,3600
001,1200,148,6.41062,0.859444,-1,1.27451,1,3,0.277586,-1,-1,-1,0,71,110,3600
001,1300,148,6.39723,0.945,-1,1.34694,1,3,0.349021,-1,-1,-1,0,69,107,3600
001,1400,150,6.3666,1.03944,-1,1.42857,1,4,0.494898,-1,-1,-1,0,66,107,3600
001,1500,157,6.38693,1.145,-1,1.47887,1,3,0.418568,-1,-1,-1,0,64,110,3600
001,1600,162,6.38468,1.23917,-1,1.54217,1,3,0.416897,-1,-1,-1,0,62,111,3600
001,1700,163,6.37681,1.32944,-1,1.50617,1,3,0.39811,-1,-1,-1,0,61,111,3600
001,1800,167,6.34314,1.41611,-1,1.72093,1,5,0.782585,-1,-1,-1,0,59,109,3600
001,1900,161,6.25659,1.50417,-1,1.69014,1,4,0.664551,-1,-1,-1,0,55,102,3600
001,2000,160,6.16284,1.56278,-1,1.82895,1,4,0.747057,-1,-1,-1,0,53,97,3600
001,2100,160,6.15745,1.67056,-1,1.93243,1,4,1.00895,-1,-1,-1,0,51,96,3600
001,2200,158,6.17111,1.76833,-1,1.82609,1,4,0.984247,-1,-1,-1,0,50,95,3600
001,2300,156,6.18071,1.87139,-1,1.94118,1,4,1.18478,-1,-1,-1,0,47,96,3600
001,2400,147,6.1502,1.93806,-1,2.03797,1,5,1.58084,-1,-1,-1,0,44,89,3600
001,2500,152,6.12223,1.98583,-1,1.94505,1,5,1.32665,-1,-1,-1,0,43,93,3600
001,2600,156,6.14032,2.09472,-1,2.0099,1,5,1.39594,-1,-1,-1,0,42,96,3600
001,2700,163,6.2628,2.18167,-1,2.33333,1,6,2.03382,-1,-1,-1,0,42,103,3600
001,2800,165,6.25758,2.26528,-1,2.15625,1,6,1.67871,-1,-1,-1,0,41,102,3600
001,2900,173,6.28403,2.37528,-1,2.21127,1,5,1.49058,-1,-1,-1,0,40,106,3600
001,3000,168,6.2879,2.43167,-1,2.17073,1,5,1.45866,-1,-1,-1,0,40,99,3600
001,3100,173,6.27414,2.51556,-1,2.23358,1,5,1.47829,-1,-1,-1,0,39,100,3600
001,3200,171,6.26789,2.58056,-1,2.26772,1,6,1.66061,-1,-1,-1,0,38,97,3600
001,3300,175,6.29668,2.675,-1,2.30345,1,6,1.68723,-1,-1,-1,0,37,101,3600
001,3400,179,6.275,2.76583,-1,2.30496,1,6,1.65877,-1,-1,-1,0,36,102,3600
001,3500,179,6.21993,2.89167,-1,2.44966,1,6,1.79109,-1,-1,-1,0,36,99,3600
001,3600,178,6.23447,3.00861,-1,2.44025,1,6,1.69297,-1,-1,-1,0,34,99,3600
001,3700,182,6.22145,3.10278,-1,2.84574,1,8,2.75812,-1,-1,-1,0,33,101,3600
001,3800,185,6.23923,3.22944,-1,2.6,1,8,2.24,-1,-1,-1,0,32,104,3600
001,3900,193,6.21932,3.36167,-1,2.74872,1,8,2.60865,-1,-1,-1,0,32,105,3600
001,4000,189,6.13073,3.45167,-1,2.62577,1,8,2.49185,-1,-1,-1,0,32,99,3600
001,4100,191,6.10952,3.54806,-1,2.65497,1,7,2.33125,-1,-1,-1,0,31,99,3600
001,4200,188,6.11578,3.67861,-1,3.04737,1,8,3.64512,-1,-1,-1,0,30,95,3600
001,4300,188,6.05896,3.8025,-1,2.8984,1,8,3.21428,-1,-1,-1,0,28,96,3600
001,4400,190,6.11348,3.86806,-1,2.88,1,8,3.4056,-1,-1,-1,0,28,97,3600
001,4500,193,6.1125,3.96278,-1,3.04306,1,8,3.74456,-1,-1,-1,0,28,99,3600
001,4600,194,6.1047,4.04472,-1,3.20098,1,10,4.52333,-1,-1,-1,0,28,98,3600
001,4700,195,6.07231,4.12417,-1,3.13198,1,8,3.88106,-1,-1,-1,0,27,96,3600
001,4800,199,6.10047,4.22778,-1,3.04603,1,8,3.39119,-1,-1,-1,0,26,102,3600
001,4900,195,6.10822,4.33333,-1,3.19635,1,8,3.7925,-1,-1,-1,0,26,96,3600
001,5000,198,6.15329,4.39528,-1,3.08257,1,9,4.27759,-1,-1,-1,0,25,99,3600
001,5100,191,6.06382,4.46472,-1,3.11737,1,8,4.07543,-1,-1,-1,0,24,95,3600
001,5200,194,6.18752,4.585,-1,3.25391,1,9,4.40819,-1,-1,-1,0,23,100,3600
001,5300,205,6.21825,4.74556,-1,3.26335,1,8,4.16552,-1,-1,-1,0,23,107,3600
001,5400,208,6.29231,4.88972,-1,3.2967,1,8,4.23065,-1,-1,-1,0,22,105,3600
001,5500,209,6.33222,4.99611,-1,3.60943,1,9,5.53095,-1,-1,-1,0,21,107,3600
001,5600,214,6.303,5.15778,-1,3.54093,1,9,4.7679,-1,-1,-1,0,21,105,3600
001,5700,211,6.28148,5.28889,-1,3.59155,1,10,4.77683,-1,-1,-1,0,21,103,3600
001,5800,223,6.33963,5.42417,-1,3.62674,1,11,4.88018,-1,-1,-1,0,21,113,3600
001,5900,222,6.29954,5.56528,-1,3.55049,1,10,4.5341,-1,-1,-1,0,21,108,3600
001,6000,215,6.24582,5.65083,-1,3.47902,1,10,4.72508,-1,-1,-1,0,21,101,3600
001,6100,223,6.33161,5.79667,-1,3.60894,1,10,4.67947,-1,-1,-1,0,20,109,3600
001,6200,222,6.31474,5.88111,-1,3.60947,1,11,4.90666,-1,-1,-1,0,20,106,3600
001,6300,221,6.25158,6.02417,-1,3.66052,1,11,5.03604,-1,-1,-1,0,20,100,3600
001,6400,227,6.21935,6.19222,-1,3.82986,1,11,4.9398,-1,-1,-1,0,20,99,3600
001,6500,227,6.20718,6.32639,-1,4.26715,1,13,7.71203,-1,-1,-1,0,20,96,3600
001,6600,235,6.25736,6.46,-1,4.36648,1,14,6.86854,-1,-1,-1,0,20,104,3600
001,6700,231,6.15373,6.55972,-1,4.41404,1,13,7.51279,-1,-1,-1,0,19,98,3600
001,6800,222,6.11101,6.66,-1,4.08407,1,13,6.47523,-1,-1,-1,0,19,89,3600
001,6900,229,6.17883,6.79111,-1,4.4428,1,14,8.60097,-1,-1,-1,0,19,96,3600
001,7000,231,6.09973,6.91444,-1,4.50182,1,15,9.80636,-1,-1,-1,0,19,94,3600
001,7100,231,6.00387,7.02667,-1,3.96748,1,14,6.46236,-1,-1,-1,0,19,91,3600
001,7200,218,5.9117,7.1525,-1,4.63721,1,15,11.6637,-1,-1,-1,0,18,83,3600
001,7300,221,5.91751,7.27333,-1,4.8159,1,16,12.1669,-1,-1,-1,0,17,85,3600
001,7400,228,5.99521,7.41472,-1,4.5993,1,16,12.1914,-1,-1,-1,0,16,94,3600
001,7500,227,6.0276,7.49694,-1,4.55061,1,15,10.458,-1,-1,-1,0,16,90,3600
001,7600,235,6.07491,7.64167,-1,4.42553,1,14,9.08133,-1,-1,-1,0,16,94,3600
001,7700,242,6.08828,7.72944,-1,4.6858,1,15,11.3514,-1,-1,-1,0,16,99,3600
001,7800,243,6.16166,7.88444,-1,4.53806,1,15,9.57139,-1,-1,-1,0,16,103,3600
001,7900,246,6.12935,7.99556,-1,4.57494,1,15,8.91269,-1,-1,-1,0,16,104,3600
001,8000,248,6.11614,8.06639,-1,4.53511,1,16,9.49332,-1,-1,-1,0,16,104,3600
001,8100,236,6.05399,8.1775,-1,4.76699,1,17,12.1787,-1,-1,-1,0,16,93,3600
001,8200,237,6.04507,8.19333,-1,4.49842,1,16,9.33517,-1,-1,-1,0,16,93,3600
001,8300,237,6.00465,8.25167,-1,4.82069,1,17,13.1472,-1,-1,-1,0,16,92,3600
001,8400,230,5.93942,8.32306,-1,4.5259,1,17,9.83499,-1,-1,-1,0,16,84,3600
001,8500,236,5.97616,8.41806,-1,4.6374,1,17,11.5746,-1,-1,-1,0,16,88,3600
001,8600,239,6.01907,8.5375,-1,4.93016,1,17,12.9983,-1,-1,-1,0,15,94,3600
001,8700,246,5.97809,8.66694,-1,4.99135,1,17,11.5014,-1,-1,-1,0,15,97,3600
001,8800,238,5.94248,8.72528,-1,5.35271,1,17,12.1198,-1,-1,-1,0,15,85,3600
001,8900,242,5.95207,8.84361,-1,5.29304,1,17,11.7896,-1,-1,-1,0,15,87,3600
001,9000,249,5.90417,8.96056,-1,5.40214,1,17,13.2938,-1,-1,-1,0,15,89,3600
001,9100,242,5.76605,8.98583,-1,5.3691,1,17,11.4088,-1,-1,-1,0,15,80,3600
001,9200,234,5.74323,8.98944,-1,5.26168,1,18,12.6231,-1,-1,-1,0,15,77,3600
001,9300,241,5.82132,9.13389,-1,4.99259,1,17,10.9629,-1,-1,-1,0,15,85,3600
001,9400,236,5.78192,9.24833,-1,4.93333,1,17,11.5822,-1,-1,-1,0,15,78,3600
001,9500,243,5.81987,9.34833,-1,4.78967,1,17,11.0443,-1,-1,-1,0,15,86,3600
001,9600,240,5.77683,9.46194,-1,4.59174,1,18,11.526,-1,-1,-1,0,15,80,3600
001,9700,239,5.77519,9.60778,-1,4.63948,1,17,10.7541,-1,-1,-1,0,15,78,3600
001,9800,236,5.73212,9.71556,-1,5.46575,1,19,23.3904,-1,-1,-1,0,15,79,3600
001,9900,232,5.7154,9.75556,-1,4.77222,1,18,15.8426,-1,-1,-1,0,15,73,3600
001,10000,239,5.798,9.87222,-1,5.08051,1,20,23.6588,-1,-1,-1,0,15,81,3600
001,10100,240,5.82913,9.93944,-1,4.44068,1,18,13.8651,-1,-1,-1,0,15,80,3600
001,10200,254,5.87652,9.99972,-1,4.56973,1,19,13.2422,-1,-1,-1,0,15,92,3600
001,10300,254,5.91734,10.1181,-1,4.96141,1,18,14.2622,-1,-1,-1,0,15,90,3600
001,10400,246,5.8197,10.1825,-1,5.01569,1,19,19.5213,-1,-1,-1,0,15,85,3600
001,10500,241,5.78759,10.2597,-1,4.57333,1,18,15.3202,-1,-1,-1,0,15,80,3600
001,10600,249,5.81101,10.3875,-1,4.84074,1,18,14.3265,-1,-1,-1,0,15,84,3600
001,10700,255,5.92989,10.5167,-1,4.94444,1,18,14.1497,-1,-1,-1,0,15,87,3600
001,10800,256,5.92685,10.6233,-1,4.63423,1,18,13.0172,-1,-1,-1,0,15,90,3600
001,10900,254,5.94321,10.8003,-1,4.67803,1,19,13.4759,-1,-1,-1,0,15,85,3600
001,11000,260,6.01772,10.8994,-1,5.55,1,21,21.435,-1,-1,-1,0,15,90,3600
001,11100,270,6.0034,11.0367,-1,5.4555,1,21,17.536,-1,-1,-1,0,15,96,3600
001,11200,268,6.01046,11.1744,-1,5.84451,1,21,20.7472,-1,-1,-1,0,15,89,3600
001,11300,271,6.01682,11.3094,-1,5.93125,1,21,19.8328,-1,-1,-1,0,15,88,3600
001,11400,277,6.04707,11.4592,-1,6.2337,1,21,24.8313,-1,-1,-1,0,15,92,3600
001,11500,279,6.02056,11.6053,-1,5.72703,1,21,19.5336,-1,-1,-1,0,15,91,3600
001,11600,272,6.03699,11.7886,-1,5.55754,1,21,19.2953,-1,-1,-1,0,14,90,3600
001,11700,270,6.06416,11.8953,-1,5.20764,1,15,13.1765,-1,-1,-1,0,14,96,3600
001,11800,277,6.12654,12.0036,-1,5.52916,1,16,14.288,-1,-1,-1,0,14,99,3600
001,11900,270,6.10884,12.1136,-1,5.22384,1,15,11.4487,-1,-1,-1,0,14,92,3600
001,12000,278,6.10702,12.2078,-1,5.4294,1,16,13.305,-1,-1,-1,0,14,101,3600
001,12100,280,6.16211,12.3458,-1,5.92323,1,18,16.8022,-1,-1,-1,0,14,99,3600
001,12200,286,6.1832,12.5033,-1,5.56381,1,18,11.5933,-1,-1,-1,0,14,104,3600
001,12300,272,6.11265,12.6519,-1,5.78417,1,18,12.6333,-1,-1,-1,0,13,97,3600
001,12400,275,6.10428,12.6844,-1,6.26824,1,20,17.5375,-1,-1,-1,0,13,95,3600
001,12500,275,6.04859,12.7925,-1,6.40741,1,18,16.3765,-1,-1,-1,0,13,90,3600
001,12600,277,5.98269,12.9672,-1,6.56351,1,18,15.373,-1,-1,-1,0,13,87,3600
001,12700,284,6.03918,13.1092,-1,6.37581,1,18,15.6644,-1,-1,-1,0,13,92,3600
001,12800,296,6.16638,13.2461,-1,6.71429,1,19,18.089,-1,-1,-1,0,13,98,3600
001,12900,298,6.13355,13.3706,-1,6.79773,1,19,16.789,-1,-1,-1,0,13,100,3600
001,13000,295,6.08881,13.5033,-1,6.72845,1,19,15.2366,-1,-1,-1,0,13,93,3600
001,13100,291,6.03765,13.5625,-1,6.75714,1,18,14.6601,-1,-1,-1,0,13,89,3600
001,13200,297,6.07441,13.6961,-1,7.08798,1,18,16.6468,-1,-1,-1,0,13,92,3600
001,13300,290,6.08171,13.8369,-1,7.21101,1,19,18.3646,-1,-1,-1,0,12,95,3600
001,13400,285,6.11878,13.9647,-1,7.29848,1,20,20.5838,-1,-1,-1,0,11,100,3600
001,13500,285,6.1498,14.0875,-1,7.36081,1,21,20.4651,-1,-1,-1,0,11,97,3600
001,13600,282,6.15079,14.1994,-1,7.41818,1,21,19.596,-1,-1,-1,0,11,95,3600
001,13700,276,6.10414,14.3108,-1,7.38829,1,21,18.4414,-1,-1,-1,0,11,88,3600
001,13800,279,6.10455,14.4297,-1,7.46761,1,21,18.1153,-1,-1,-1,0,11,89,3600
001,13900,284,6.0997,14.5231,-1,7.61194,1,20,20.3701,-1,-1,-1,0,11,97,3600
001,14000,272,6.06678,14.6219,-1,8.11418,1,22,23.8249,-1,-1,-1,0,10,91,3600
001,14100,273,6.02863,14.7575,-1,8.81467,1,22,28.7996,-1,-1,-1,0,10,87,3600
001,14200,284,6.08669,14.8197,-1,8.44759,1,21,24.3704,-1,-1,-1,0,10,94,3600
001,14300,282,6.07096,14.8794,-1,8.42105,1,21,23.075,-1,-1,-1,0,10,91,3600
001,14400,271,6.08433,14.94,-1,8.09184,1,21,22.7569,-1,-1,-1,0,10,87,3600
001,14500,283,6.15693,15.0494,-1,8.30677,1,21,22.4081,-1,-1,-1,0,10,99,3600
001,14600,287,6.13373,15.1233,-1,8.14374,1,22,22.4044,-1,-1,-1,0,10,101,3600
001,14700,298,6.24239,15.2506,-1,8.71499,1,23,26.3525,-1,-1,-1,0,10,107,3600
001,14800,298,6.14979,15.3361,-1,8.61714,1,23,24.8648,-1,-1,-1,0,10,103,3600
001,14900,299,6.1368,15.4464,-1,8.19492,1,22,22.1366,-1,-1,-1,0,10,97,3600
001,15000,308,6.21938,15.5344,-1,8.57933,1,23,23.8827,-1,-1,-1,0,10,103,3600
001,15100,309,6.23608,15.6331,-1,8.48362,1,23,25.8285,-1,-1,-1,0,10,103,3600
001,15200,306,6.16354,15.7064,-1,8.60413,1,23,24.1083,-1,-1,-1,0,10,97,3600
001,15300,311,6.18958,15.8531,-1,8.50231,1,23,25.5659,-1,-1,-1,0,10,102,3600
001,15400,295,6.15397,15.9639,-1,9.0318,1,23,27.4266,-1,-1,-1,0,9,94,3600
001,15500,294,6.06304,16.0494,-1,8.55396,1,23,22.7291,-1,-1,-1,0,9,91,3600
001,15600,300,6.04535,16.1272,-1,8.96121,1,23,27.3762,-1,-1,-1,0,9,95,3600
001,15700,303,6.03809,16.1975,-1,9.39861,1,24,29.491,-1,-1,-1,0,9,92,3600
001,15800,301,5.99082,16.3111,-1,9.47037,1,24,29.3417,-1,-1,-1,0,9,88,3600
001,15900,305,6.02865,16.4844,-1,9.94271,1,25,31.2589,-1,-1,-1,0,9,89,3600
001,16000,307,5.99237,16.6156,-1,10.4154,1,24,31.948,-1,-1,-1,0,9,86,3600
001,16100,303,5.95387,16.7153,-1,10.0022,1,24,30.1808,-1,-1,-1,0,9,80,3600
001,16200,305,5.96874,16.8378,-1,10.2766,1,24,30.8852,-1,-1,-1,0,9,80,3600
001,16300,293,6.00526,16.9039,-1,10.0265,1,25,30.7916,-1,-1,-1,0,8,84,3600
001,16400,300,6.0417,17.0536,-1,10.2775,1,25,30.8323,-1,-1,-1,0,8,89,3600
001,16500,288,5.97387,17.1322,-1,10.2948,1,21,30.3193,-1,-1,-1,0,8,82,3600
001,16600,302,6.11195,17.2928,-1,10.212,1,21,32.2377,-1,-1,-1,0,8,95,3600
001,16700,298,6.06181,17.3697,-1,10.5084,1,23,35.627,-1,-1,-1,0,8,91,3600
001,16800,300,6.13593,17.4861,-1,10.8265,1,23,37.0277,-1,-1,-1,0,8,91,3600
001,16900,310,6.15351,17.5933,-1,10.2882,1,23,36.6873,-1,-1,-1,0,8,101,3600
001,17000,308,6.08236,17.7025,-1,10.6515,1,23,39.2182,-1,-1,-1,0,8,97,3600
001,17100,305,5.98501,17.8114,-1,10.7365,1,22,41.7565,-1,-1,-1,0,8,96,3600
001,17200,307,6.02661,17.8892,-1,10.5759,1,22,40.2843,-1,-1,-1,0,8,99,3600
001,17300,307,6.00322,17.9825,-1,10.8918,1,23,43.1531,-1,-1,-1,0,8,95,3600
001,17400,309,6.01346,18.0794,-1,11.1641,1,22,40.1993,-1,-1,-1,0,8,91,3600
001,17500,309,5.96031,18.2111,-1,11.5179,1,23,42.4023,-1,-1,-1,0,8,90,3600
001,17600,307,5.93995,18.3072,-1,11.4355,1,23,41.4587,-1,-1,-1,0,8,89,3600
001,17700,303,5.93621,18.4017,-1,11.4265,1,24,40.1858,-1,-1,-1,0,8,83,3600
001,17800,314,5.97564,18.5225,-1,11.4844,1,24,42.4524,-1,-1,-1,0,8,93,3600
001,17900,305,5.97761,18.6417,-1,11.717,1,24,45.6057,-1,-1,-1,0,8,86,3600
001,18000,314,6.04985,18.7347,-1,11.9242,1,24,46.1711,-1,-1,-1,0,8,94,3600
001,18100,320,6.03658,18.8947,-1,11.6814,1,24,49.8043,-1,-1,-1,0,8,98,3600
001,18200,320,5.97648,19.0281,-1,11.5812,1,24,49.3116,-1,-1,-1,0,8,92,3600
001,18300,319,5.91538,19.1075,-1,11.8336,1,24,50.7623,-1,-1,-1,0,8,90,3600
001,18400,318,5.89971,19.2331,-1,11.3151,1,24,52.3688,-1,-1,-1,0,8,87,3600
001,18500,321,5.98408,19.3689,-1,12.0359,1,25,54.1523,-1,-1,-1,0,8,88,3600
001,18600,319,5.9968,19.5067,-1,12.1344,1,25,53.5013,-1,-1,-1,0,8,83,3600
001,18700,318,6.01432,19.5839,-1,11.9531,1,27,58.8677,-1,-1,-1,0,8,90,3600
001,18800,328,6.09752,19.6878,-1,11.325,1,27,56.1613,-1,-1,-1,0,8,98,3600
001,18900,326,6.06612,19.8131,-1,11.4282,1,26,53.5728,-1,-1,-1,0,8,96,3600
001,19000,331,6.05921,19.9442,-1,11.4003,1,25,48.8705,-1,-1,-1,0,8,96,3600
001,19100,322,5.96691,20.0914,-1,11.168,1,26,58.0886,-1,-1,-1,0,8,89,3600
001,19200,316,5.90803,20.2792,-1,10.4591,1,26,50.7214,-1,-1,-1,0,8,87,3600
001,19300,316,5.89422,20.4117,-1,10.6133,1,25,51.284,-1,-1,-1,0,8,82,3600
001,19400,323,5.93083,20.5225,-1,10.8782,1,26,50.8504,-1,-1,-1,0,8,87,3600
001,19500,311,5.91381,20.7103,-1,10.6121,1,26,48.3228,-1,-1,-1,0,8,83,3600
001,19600,314,5.93233,20.8714,-1,10.6225,1,26,48.1688,-1,-1,-1,0,8,88,3600
001,19700,315,5.93719,20.9831,-1,10.7126,1,26,49.1342,-1,-1,-1,0,8,87,3600
001,19800,320,6.01322,21.0719,-1,10.6535,1,27,55.8025,-1,-1,-1,0,8,99,3600
001,19900,319,6.01956,21.2231,-1,10.4017,1,26,50.3234,-1,-1,-1,0,8,96,3600
001,20000,313,5.9347,21.2933,-1,10.7795,1,27,53.465,-1,-1,-1,0,8,90,3600
001,20100,315,5.92056,21.43,-1,11.3648,1,27,53.834,-1,-1,-1,0,8,90,3600
001,20200,311,5.8146,21.5608,-1,11.2832,1,27,56.189,-1,-1,-1,0,8,82,3600
001,20300,314,5.84362,21.6467,-1,11.0691,1,27,55.8143,-1,-1,-1,0,8,88,3600
001,20400,317,5.79556,21.6975,-1,11.4599,1,28,59.6553,-1,-1,-1,0,8,89,3600
001,20500,297,5.76093,21.8264,-1,11.9443,1,28,56.0929,-1,-1,-1,0,7,84,3600
001,20600,295,5.80184,21.9617,-1,12.1124,1,29,61.2779,-1,-1,-1,0,7,87,3600
001,20700,282,5.71558,22.0161,-1,11.6534,1,28,60.2681,-1,-1,-1,0,7,75,3600
001,20800,291,5.80615,22.1397,-1,11.0289,1,28,57.5258,-1,-1,-1,0,7,85,3600
001,20900,293,5.78237,22.2047,-1,11.816,1,29,60.735,-1,-1,-1,0,7,86,3600
001,21000,284,5.76826,22.3197,-1,11.7284,1,28,59.0712,-1,-1,-1,0,7,77,3600
001,21100,282,5.80186,22.4606,-1,11.7462,1,25,58.6274,-1,-1,-1,0,7,82,3600
001,21200,288,5.94633,22.6006,-1,11.1663,1,25,58.8228,-1,-1,-1,0,7,90,3600
001,21300,287,6.0171,22.7508,-1,11.0024,1,25,58.5159,-1,-1,-1,0,7,90,3600
001,21400,294,6.04543,22.8819,-1,11.5456,1,25,56.5342,-1,-1,-1,0,7,95,3600
001,21500,290,5.99606,23.0456,-1,12.2146,1,27,64.815,-1,-1,-1,0,7,84,3600
001,21600,292,6.00934,23.1883,-1,11.9385,1,27,66.756,-1,-1,-1,0,7,83,3600
001,21700,303,6.05726,23.3361,-1,12.0337,1,28,63.9739,-1,-1,-1,0,7,91,3600
001,21800,304,6.04311,23.4792,-1,12.9319,1,28,68.6476,-1,-1,-1,0,7,90,3600
001,21900,306,6.07042,23.6311,-1,12.7511,1,28,67.7513,-1,-1,-1,0,7,92,3600
001,22000,305,5.93849,23.7744,-1,12.9813,1,28,68.3972,-1,-1,-1,0,7,89,3600
001,22100,301,5.97375,23.8425,-1,11.3601,1,28,67.0504,-1,-1,-1,0,7,85,3600
001,22200,304,5.9497,23.935,-1,11.5923,1,28,66.1565,-1,-1,-1,0,7,87,3600
001,22300,310,5.99618,24.0697,-1,12.4775,1,28,70.1813,-1,-1,-1,0,7,90,3600
001,22400,311,6.01676,24.1558,-1,12,1,28,69.2985,-1,-1,-1,0,7,89,3600
001,22500,320,6.00102,24.2625,-1,11.6762,1,28,64.8254,-1,-1,-1,0,7,93,3600
001,22600,307,5.93939,24.3464,-1,11.8858,1,28,72.6125,-1,-1,-1,0,7,83,3600
001,22700,316,5.95842,24.4561,-1,11.6344,1,28,71.6535,-1,-1,-1,0,7,89,3600
001,22800,307,5.95826,24.6042,-1,12.9288,1,28,72.4291,-1,-1,-1,0,7,84,3600
001,22900,303,5.9118,24.7514,-1,13.3183,1,29,85.8738,-1,-1,-1,0,7,78,3600
001,23000,308,5.89161,24.8114,-1,13.2667,1,29,83.2649,-1,-1,-1,0,7,83,3600
001,23100,323,5.95918,24.9281,-1,13.4719,1,29,82.8925,-1,-1,-1,0,7,95,3600
001,23200,316,5.8949,25.0361,-1,13.1536,1,29,81.8759,-1,-1,-1,0,7,86,3600
001,23300,303,5.85204,25.1086,-1,13.5931,1,30,91.2643,-1,-1,-1,0,7,84,3600
001,23400,304,5.87128,25.2244,-1,13.3492,1,31,87.0139,-1,-1,-1,0,7,85,3600
001,23500,285,5.90142,25.34,-1,12.8597,1,30,80.9399,-1,-1,-1,0,6,84,3600
001,23600,288,5.88585,25.4419,-1,13.4531,1,30,89.0131,-1,-1,-1,0,6,86,3600
001,23700,291,5.97039,25.5547,-1,14.0734,1,31,82.3615,-1,-1,-1,0,6,84,3600
001,23800,300,6.01979,25.6983,-1,14.5726,1,30,86.8483,-1,-1,-1,0,6,92,3600
001,23900,283,5.98592,25.8114,-1,13.5774,1,30,82.8493,-1,-1,-1,0,6,78,3600
001,24000,286,5.92323,25.8628,-1,13.815,1,32,81.3493,-1,-1,-1,0,6,82,3600
001,24100,293,5.98697,26.0086,-1,14.1015,1,32,86.3374,-1,-1,-1,0,6,86,3600
001,24200,296,5.93784,26.1019,-1,14.4179,1,32,85.0986,-1,-1,-1,0,6,85,3600
001,24300,287,5.87646,26.2153,-1,14.634,1,32,84.8409,-1,-1,-1,0,6,77,3600
001,24400,291,5.83582,26.3606,-1,15.158,1,32,91.5638,-1,-1,-1,0,6,80,3600
001,24500,298,5.92374,26.5078,-1,14.5557,1,34,90.933,-1,-1,-1,0,6,89,3600
001,24600,295,5.89886,26.6108,-1,13.9649,1,34,87.2095,-1,-1,-1,0,6,90,3600
001,24700,289,5.87797,26.7372,-1,14.6848,1,33,95.4396,-1,-1,-1,0,6,85,3600
001,24800,299,5.92388,26.8928,-1,15.8441,1,35,108.422,-1,-1,-1,0,6,92,3600
001,24900,294,5.90445,26.9631,-1,16.0698,1,34,100.21,-1,-1,-1,0,6,83,3600
001,25000,298,5.90054,27.0958,-1,14.7799,1,33,91.024,-1,-1,-1,0,6,85,3600
001,25100,303,5.9071,27.22,-1,15.0337,1,35,96.994,-1,-1,-1,0,6,85,3600
001,25200,307,5.92218,27.3033,-1,14.6651,1,33,93.5341,-1,-1,-1,0,6,86,3600
001,25300,319,5.95959,27.4028,-1,15.7004,1,35,105.159,-1,-1,-1,0,6,95,3600
001,25400,311,5.94673,27.5639,-1,15.5817,1,34,95.0377,-1,-1,-1,0,6,84,3600
001,25500,318,5.91228,27.6722,-1,15.9356,1,33,93.6338,-1,-1,-1,0,6,86,3600
001,25600,321,5.94646,27.8275,-1,15.3499,1,34,91.7857,-1,-1,-1,0,6,88,3600
001,25700,315,5.90575,27.9114,-1,17.3076,1,35,109.148,-1,-1,-1,0,6,83,3600
001,25800,314,5.8651,28.0175,-1,16.7901,1,34,97.4043,-1,-1,-1,0,6,82,3600
001,25900,316,5.9404,28.1617,-1,16.5091,1,35,97.2814,-1,-1,-1,0,6,81,3600
001,26000,330,6.00521,28.25,-1,17.0543,1,36,107.027,-1,-1,-1,0,6,92,3600
001,26100,314,5.87353,28.3208,-1,17.4337,1,36,104.269,-1,-1,-1,0,6,86,3600
001,26200,309,5.85279,28.4003,-1,17.4075,1,37,105.121,-1,-1,-1,0,6,81,3600
001,26300,309,5.87419,28.47,-1,17.216,1,36,106.471,-1,-1,-1,0,6,80,3600
001,26400,311,5.85579,28.5569,-1,18.0359,1,36,110.329,-1,-1,-1,0,6,81,3600
001,26500,319,5.89673,28.7061,-1,17.3346,1,36,104.766,-1,-1,-1,0,6,87,3600
001,26600,321,5.88494,28.7958,-1,16.2974,1,36,95.1909,-1,-1,-1,0,6,88,3600
001,26700,330,5.92138,28.9036,-1,17.3885,1,38,107.972,-1,-1,-1,0,6,92,3600
